dist,n,rep,prim_time,kruskal_time,prim_cost,kruskal_cost
uniform,40,23,0.0003438379999352037,0.0003098949996456213,0.8239348384598862,0.8239348384598862
uniform,40,24,0.00035110099997837096,0.0003203710002708249,1.300729925148584,1.300729925148584
uniform,40,25,0.00034286000027350383,0.0003081479999309522,0.7545530722589925,0.7545530722589925
uniform,40,26,0.0003408350003155647,0.00030745000003662426,1.1248933352195656,1.1248933352195656
uniform,40,27,0.00034684100000959006,0.0003054240000892605,1.0745329167018078,1.0745329167018078
uniform,40,28,0.00034767899978760397,0.0002996969997184351,1.5670677501748773,1.5670677501748767
uniform,40,29,0.0003578770001695375,0.0003080780002164829,1.0487801591113364,1.0487801591113364
uniform,60,0,0.0007729549997748109,0.0008909200000744022,0.999877012733053,0.999877012733053
uniform,60,1,0.00075695999976233,0.0007059750000735221,1.3312900478778809,1.3312900478778804
uniform,60,2,0.0007787519998601056,0.0007464139998774044,1.2468208949365014,1.2468208949365012
uniform,60,3,0.0007641539996257052,0.0007271380000020145,1.0987781595063162,1.0987781595063164
uniform,60,4,0.0007696019997638359,0.0007163820000641863,1.1776864182836377,1.1776864182836377
uniform,60,5,0.0007737219998489309,0.0010240409997095412,1.154182861837581,1.1541828618375805
uniform,60,6,0.0008439859998361499,0.0007885999998507032,1.1805925700071855,1.1805925700071853
uniform,60,7,0.0008086440002443851,0.0007177779998528422,1.5811647435915859,1.581164743591586
uniform,60,8,0.000883377000263863,0.0007501159998355433,1.2815565645125728,1.2815565645125733
uniform,60,9,0.0008143709997057158,0.0007276960000126564,1.5653052083935917,1.5653052083935917
uniform,60,10,0.000812135999694874,0.0006993399997554661,1.2207982060342313,1.2207982060342308
uniform,60,11,0.0008766020000621211,0.0007832920000510057,1.2838309618303536,1.2838309618303536
uniform,60,12,0.0008021489998100151,0.0007378939999398426,1.2513343729679116,1.2513343729679116
uniform,60,13,0.0008111590000225988,0.000710025999978825,1.2515931409892138,1.2515931409892138
uniform,60,14,0.0009449079998375964,0.0007674369999222108,1.1099580352272134,1.1099580352272138
uniform,60,15,0.0008164669998222962,0.0007522119999521237,0.9867001897829347,0.9867001897829347
uniform,60,16,0.0008059900001171627,0.0007292329996744229,1.3938935572093214,1.3938935572093207
uniform,60,17,0.0009822749998420477,0.0007647130000805191,1.1008305397455758,1.1008305397455758
uniform,60,18,0.0008379089999834832,0.0007608710002386943,0.8815878887076142,0.8815878887076142
uniform,60,19,0.0007872030000726227,0.0007385910002994933,0.83067282901549,0.83067282901549
uniform,60,20,0.0009510550003142271,0.0008332290003636444,0.9927968733369223,0.9927968733369223
uniform,60,21,0.0008124159999169933,0.0007141460000639199,1.0877209963996228,1.087720996399623
uniform,60,22,0.0008082250001280045,0.0007063240000206861,1.295239629724493,1.2952396297244928
uniform,60,23,0.0008085039999059518,0.0007445289998031512,1.4862552670860603,1.4862552670860607
uniform,60,24,0.0008081559999482124,0.0007497669998883794,1.3363168301855302,1.3363168301855297
uniform,60,25,0.0008008220002011512,0.0007300010001927149,1.2855607891507859,1.285560789150785
uniform,60,26,0.0007925810000415368,0.000771975999668939,1.1319160014496457,1.1319160014496454
uniform,60,27,0.0008683600003678293,0.0008405629996559583,1.3805260720453236,1.3805260720453236
uniform,60,28,0.0007892979997450311,0.0006978730002629163,1.1951547532305742,1.195154753230574
uniform,60,29,0.0008002629997463373,0.0006982919999245496,1.0785600010160628,1.0785600010160628
uniform,80,0,0.0014692909999212134,0.0015774779999446764,1.2589736753876595,1.2589736753876593
uniform,80,1,0.0014085980001254939,0.00158194799996636,1.602741683854921,1.6027416838549207
uniform,80,2,0.001454554000247299,0.0018921920000138925,1.4012484929341729,1.401248492934173
uniform,80,3,0.0014626570000473293,0.001780581999810238,1.0895675087731322,1.0895675087731322
uniform,80,4,0.0014232640000955143,0.001839319999817235,1.0531139014803297,1.0531139014803297
uniform,80,5,0.0015781069996592123,0.0015745450000395067,1.015297907040675,1.015297907040675
uniform,80,6,0.00137653899992074,0.0017358830000375747,1.2011434319593344,1.2011434319593342
uniform,80,7,0.0013593590001619305,0.0015970350000316103,1.0566233514307295,1.0566233514307295
uniform,80,8,0.0014821419999861973,0.001558621000185667,1.2998342955515647,1.2998342955515652
uniform,80,9,0.001404058000389341,0.001720306999686727,1.3215024286231207,1.3215024286231207
uniform,80,10,0.0012968480000381533,0.002115340999807813,0.9794318094097038,0.9794318094097038
uniform,80,11,0.00130243600005997,0.0017416099999536527,0.9325345885802928,0.9325345885802928
uniform,80,12,0.0012629750003725349,0.0016232959997068974,1.2258682108956322,1.2258682108956331
uniform,80,13,0.0012645110000448767,0.0014890560000822006,1.0898463052523173,1.0898463052523173
uniform,80,14,0.0015609950000907702,0.002505974000087008,1.1592449969096745,1.159244996909674
uniform,80,15,0.001395467000293138,0.0015788050000082876,1.1037705316822572,1.1037705316822575
uniform,80,16,0.0013996580000821268,0.0014498040000034962,1.3804624373583363,1.380462437358336
uniform,80,17,0.0013546790000873443,0.001459583000269049,1.3034709437047916,1.3034709437047913
uniform,80,18,0.001356914000098186,0.002349525000227004,1.2905996486019873,1.2905996486019873
uniform,80,19,0.001745939999636903,0.0020772760003637813,1.2447074000397742,1.2447074000397738
uniform,80,20,0.0018099859998983447,0.00215151899965349,1.0374884545325562,1.0374884545325562
uniform,80,21,0.0019043450001845486,0.0025235040002371534,1.0203977678261933,1.0203977678261933
uniform,80,22,0.0019119580001643044,0.0026538319998508086,1.1694863570589722,1.1694863570589722
uniform,80,23,0.0015172029998211656,0.0022064859999773034,1.5907643430837122,1.5907643430837122
uniform,80,24,0.0014521099997182318,0.0015679099997214507,1.09490614123799,1.0949061412379897
uniform,80,25,0.001454834000014671,0.0016320960003213258,1.0644437432482659,1.0644437432482659
uniform,80,26,0.0013978419997329183,0.0014984849999564176,1.1810012753963952,1.181001275396395
uniform,80,27,0.0016137970001182111,0.0024510770003871585,1.200348120308865,1.2003481203088648
uniform,80,28,0.0013580310001088947,0.0013384750000113854,1.1426567836506298,1.1426567836506298
uniform,80,29,0.0013567040000452835,0.0013465759998325666,1.2353926907670174,1.2353926907670172
